,angry,sad,disgust,contempt,fear,neutral,surprise,happy,reason
MSP-PODCAST_1629_0031.wav,0,0,0,0,0,0,0,1,Maximized happy for relaxed state's positive emotional content.
MSP-PODCAST_1629_0044.wav,0,0,0,0.1,0,0.8,0,0.1,Increased neutral for cautiousness; decreased contempt for balance.
MSP-PODCAST_1629_0050_0002.wav,0,0.15,0,0,0.15,0.4,0,0.3,"Adjusted for shock's impact; increased sad and fear, decreased contempt."
MSP-PODCAST_1629_0050_0006.wav,0,0.7,0.2,0,0,0.1,0,0,Increased sad for concern's negative aspect; increased disgust for balance.
MSP-PODCAST_1629_0070_0002.wav,0,0.85,0,0,0,0.05,0.05,0.05,Increased sad due to worry's strong negative emotion; decreased neutral.
MSP-PODCAST_1629_0070_0003.wav,0,0,0,0.1,0.1,0.4,0.2,0.2,Balanced for impressed's positive reaction; increased surprise and happy.
MSP-PODCAST_1630_0002.wav,0,0,0,0,0,0.9,0,0.1,Increased neutral for explanatory's objective nature; slight increase in happy for positive engagement.
MSP-PODCAST_1630_0015.wav,0.2,0.6,0,0,0.1,0.1,0,0,Increased sad for tiredness's draining effect; decreased neutral.
MSP-PODCAST_1630_0018_0006.wav,0,0,0,0,0,1,0,0,Kept neutral high for seriousness's lack of strong emotional expression.
MSP-PODCAST_1630_0022_0003.wav,0,0.1,0,0,0,0.8,0.1,0,Increased neutral for awe's contemplative aspect; slight increase in sad and surprise.
MSP-PODCAST_1630_0022_0008.wav,0,0,0,0,0,1,0,0,Maintained high neutral for calm and explanatory's objective nature.
MSP-PODCAST_1630_0024_0002.wav,0.1,0.2,0.2,0.1,0.1,0.3,0,0,Adjusted for neutral's dominance in a neutral context; balanced other emotions.
MSP-PODCAST_1630_0026_0003.wav,0.1,0.1,0.1,0.2,0,0.4,0,0.1,Balanced for curious and pleasant aspects; increased contempt for skepticism.
MSP-PODCAST_1630_0026_0004.wav,0,0,0,0,0,1,0,0,Kept neutral high for cautiousness's lack of strong emotional expression.
MSP-PODCAST_1630_0034_0001.wav,0,0.6,0.1,0,0,0.2,0,0.1,Increased sad for concern's negative aspect; adjusted neutral and happy for balance.
MSP-PODCAST_1630_0034_0003.wav,0,0,0,0,0,1,0,0,"Maintained high neutral for contemplative's thoughtful, but emotionally neutral nature."
MSP-PODCAST_1630_0041_0004.wav,0.1,0.3,0.1,0.1,0.1,0.2,0.1,0,"Pessimism involves sadness and a negative outlook, hence increased 'sad'."
MSP-PODCAST_1630_0041_0006.wav,0,0,0,0,0.1,0.8,0.1,0,Cautiousness implies a slight fear and high neutrality.
MSP-PODCAST_1630_0041_0009.wav,0,0,0,0,0,0.7,0.2,0.1,Insightfulness involves a positive surprise and high neutrality.
MSP-PODCAST_1630_0052_0002.wav,0.1,0.4,0.1,0,0.2,0.1,0.1,0,Regret is primarily associated with sadness and fear.
MSP-PODCAST_1631_0004_0004.wav,0,0,0,0,0.1,0.8,0.1,0,Being analytical and cautious implies neutrality with a slight fear.
MSP-PODCAST_1631_0025.wav,0.2,0,0.2,0,0.5,0.1,0,0,Concern involves fear and a slight anger or disgust.
MSP-PODCAST_1631_0027_0005.wav,0,0.2,0,0,0.2,0.1,0.2,0.3,"Embarrassment involves sadness, fear, and a bit of happiness."
MSP-PODCAST_1631_0027_0007.wav,0,0.2,0,0,0.1,0.4,0.2,0.1,"Concern involves sadness, fear, and neutrality."
MSP-PODCAST_1631_0038_0005.wav,0,0,0.1,0,0,0.2,0,0.7,"Admiration involves a strong positive emotion, hence increased 'happy'."
MSP-PODCAST_1631_0043_0001.wav,0,0,0,0,0,0.1,0.1,0.8,"Inspiration, pride, and gratitude are strongly positive, increasing 'happy'."
MSP-PODCAST_1631_0043_0002.wav,0,0,0,0,0,0,0,1,"Admiration is a purely positive emotion, fully 'happy'."
MSP-PODCAST_1631_0060_0004.wav,0,0,0,0,0,0.7,0,0.3,"Supportiveness involves positivity and neutrality, hence increased 'happy'."
MSP-PODCAST_1632_0010.wav,0,0,0,0,0,0,1,0,Intrigue is primarily associated with surprise.
MSP-PODCAST_1632_0014.wav,0,0,0,0,0.1,0.8,0.1,0,Cautiousness implies a slight fear and high neutrality.
MSP-PODCAST_1632_0015.wav,0,0,0,0,0.1,0.8,0.1,0,Cautiousness implies a slight fear and high neutrality.
MSP-PODCAST_1632_0021.wav,0.2,0,0,0.2,0,0.4,0.2,0,Matter-of-factly implies neutrality with a touch of assertiveness.
MSP-PODCAST_1632_0031.wav,0,0.2,0,0,0.2,0.4,0.2,0,"Inquisitiveness involves curiosity, hence increased 'surprise' and 'neutral'."
MSP-PODCAST_1632_0032_0004.wav,0,0.3,0.1,0.1,0.2,0.2,0.1,0,"Concern involves sadness, fear, and a bit of disgust."
MSP-PODCAST_1636_0029.wav,0,0,0.1,0.1,0,0.5,0.1,0.2,Professionalism involves neutrality with a slight positive outlook.
MSP-PODCAST_1636_0034_0004.wav,0,0,0,0,0,1,0,0,Calmness is purely a neutral state.
MSP-PODCAST_1637_0002.wav,0,0,0,0,0,0.6,0,0.4,"Thankfulness involves a strong positive emotion, hence increased 'happy'."
MSP-PODCAST_1637_0010_0002.wav,0.1,0,0,0,0,0.4,0,0.5,Amusement involves happiness with a slight neutrality.
MSP-PODCAST_1637_0010_0004.wav,0,0,0,0.1,0,0.6,0,0.3,Cautiousness involves neutrality with a slight positive outlook.
MSP-PODCAST_1637_0010_0005.wav,0,0.2,0.2,0,0.1,0.4,0.1,0,"Cautiousness and interest involve neutrality, curiosity, and slight apprehension."
MSP-PODCAST_1637_0010_0007.wav,0,0,0,0,0,0.1,0.1,0.8,"Encouragement and enthusiasm are strongly positive, hence increased 'happy'."
MSP-PODCAST_1637_0010_0008.wav,0.1,0,0,0,0,0.8,0,0.1,Sincerity involves a high degree of neutrality with a touch of positivity.
MSP-PODCAST_1637_0011.wav,0,0,0,0,0,0.9,0,0.1,Inquisitiveness and conviction involve a strong sense of neutrality and slight positivity.
MSP-PODCAST_1637_0022_0001.wav,0,0,0,0.1,0,0.7,0,0.2,Cautiousness involves neutrality with a slight positive outlook.
MSP-PODCAST_1637_0022_0003.wav,0,0,0,0,0,0.7,0,0.3,Being explanatory and informative involves neutrality with a touch of positivity.
MSP-PODCAST_1637_0024_0002.wav,0,0,0,0,0,0.9,0,0.1,Cautiousness and neutrality imply a very high degree of neutrality.
MSP-PODCAST_1637_0025.wav,0,0,0,0,0,0.5,0,0.5,"Interest suggests a positive engagement, increasing neutral and happy."
MSP-PODCAST_1637_0027_0002.wav,0,0,0,0,0,0.7,0,0.3,"Interest implies a positive state, thus increasing neutral and happy slightly."
MSP-PODCAST_1637_0031.wav,0,0,0,0,0,0.8,0,0.2,"Confidence is a positive state, increasing neutral and slightly happy."
MSP-PODCAST_1637_0032.wav,0,0,0,0,0.2,0.6,0,0.2,"Cautiousness implies wariness, increasing fear and neutral."
MSP-PODCAST_1637_0036_0002.wav,0.1,0,0,0,0.2,0.2,0,0.5,"Cautious optimism suggests a mix of caution and optimism, adjusting fear and happy."
MSP-PODCAST_1637_0042.wav,0.2,0,0.2,0.2,0,0.2,0,0.2,"Passive aggression involves hidden anger, increasing angry, disgust, and contempt."
MSP-PODCAST_1637_0052_0003.wav,0,0,0,0,0,0,0.2,0.8,"Excitement and interest suggest positive emotions, increasing happy and surprise."
MSP-PODCAST_1637_0062.wav,0,0,0,0,0,0.1,0,0.9,"Thankfulness is a strong positive emotion, increasing happy significantly."
MSP-PODCAST_1638_0083.wav,0,0.3,0,0,0,0.7,0,0,"Boredom implies a lack of interest, increasing sad and neutral."
MSP-PODCAST_1638_0102.wav,0,0,0.3,0.2,0,0.5,0,0,"Engagement does not necessarily imply disgust, adjusting to increase neutral."
MSP-PODCAST_1638_0128.wav,0,0,0,0,0,0.7,0.1,0.2,"Combination of cautious, optimistic, and calm suggests a balanced emotion, adjusting accordingly."
MSP-PODCAST_1638_0135.wav,0.2,0.2,0,0.1,0,0.2,0.2,0.1,"Uneasiness and frustration suggest negative emotions, adjusting angry, sad, and surprise."
MSP-PODCAST_1638_0142.wav,0,0,0,0,0,0.8,0,0.2,"Insightfulness is a positive cognitive state, increasing neutral and happy."
MSP-PODCAST_1638_0149.wav,0,0.3,0,0.2,0,0.4,0,0.1,"Concern and worry suggest negative emotions, adjusting sad and contempt."
MSP-PODCAST_1638_0164.wav,0,0.1,0,0,0,0.4,0,0.5,"Interest suggests a positive engagement, adjusting sad and increasing happy."
MSP-PODCAST_1638_0165.wav,0,0.2,0,0,0,0.4,0.2,0.2,"Boredom implies a lack of interest, adjusting sad, neutral, and surprise."
MSP-PODCAST_1639_0003.wav,0,0,0,0,0,0.8,0,0.2,"A bit of optimism suggests a positive outlook, increasing neutral and happy."
MSP-PODCAST_1639_0013.wav,0.3,0,0.2,0.1,0,0.4,0,0,"Annoyance is a mild negative emotion, increasing angry and disgust."
MSP-PODCAST_1639_0032_0003.wav,0,0,0,0,0,0,0.1,0.9,"Amusement is a strong positive emotion, significantly increasing happy."
MSP-PODCAST_1639_0035_0003.wav,0,0.1,0,0,0.1,0.3,0,0.5,"Calmness suggests a positive, relaxed state, adjusting sad, fear, and increasing happy."
MSP-PODCAST_1639_0038_0001.wav,0,0.2,0,0,0,0.6,0,0.2,"Confusion and concern suggest a negative state, adjusting sad and neutral."
MSP-PODCAST_1639_0041_0001.wav,0,0,0,0,0,0.3,0.2,0.5,"Excitement is a strong positive emotion, decreasing sad and increasing happy."
MSP-PODCAST_1639_0041_0002.wav,0.4,0.1,0,0.1,0,0.2,0,0.2,"Disappointment involves negative feelings, increasing angry and adjusting happy."
MSP-PODCAST_1639_0052.wav,0.1,0,0,0.2,0,0.6,0,0.1,"Contemplation is a neutral, thoughtful state, adjusting angry and increasing neutral."
MSP-PODCAST_1639_0059.wav,0,0.1,0.2,0.2,0,0.4,0.1,0,"Concern suggests a negative state, adjusting disgust, contempt, and surprise."
MSP-PODCAST_1639_0062_0005.wav,0,0,0,0,0,0.6,0.1,0.3,"Calm suggests a positive, relaxed state, adjusting fear and increasing happy."
MSP-PODCAST_1639_0062_0006.wav,0,0,0,0.1,0,0.2,0.2,0.5,"Enthusiasm is a strong positive emotion, decreasing contempt and increasing happy."
MSP-PODCAST_1639_0062_0011.wav,0.2,0.2,0.1,0,0.1,0.3,0.1,0,"Frustration is a negative emotion, increasing angry, sad, and adjusting fear."
MSP-PODCAST_1639_0062_0018.wav,0,0,0,0,0,0.6,0,0.4,"Concern suggests a negative state but also implies care, adjusting to increase happy."
MSP-PODCAST_1639_0062_0027.wav,0.1,0,0,0.1,0.3,0.3,0.1,0.1,"Nervousness involves fear and slight negativity, adjusting fear and contempt."
MSP-PODCAST_1639_0062_0028.wav,0,0,0,0,0.1,0.7,0.1,0.1,"Uncertainty can induce a slight fear and surprise, reducing neutrality."
MSP-PODCAST_1639_0068.wav,0,0,0,0,0.2,0.8,0,0,"Cautiousness implies a bit of fear, thus slightly less neutrality."
MSP-PODCAST_1639_0072.wav,0,0,0,0,0.2,0.7,0.1,0,"Combination of contemplation and caution increases fear, decreases neutrality."
MSP-PODCAST_1639_0090.wav,0,0,0,0,0,0.05,0.05,0.9,"Amusement strongly correlates with happiness, reducing neutrality and surprise."
MSP-PODCAST_1640_0002.wav,0.4,0.1,0,0,0.1,0.4,0,0,"Confusion can lead to frustration (anger) and a bit of fear, adjusting neutrality."
MSP-PODCAST_1640_0004.wav,0,0.2,0,0,0.1,0.6,0.1,0,"Concern often involves sadness and fear, with a reduction in neutrality."
MSP-PODCAST_1640_0007_0005.wav,0.2,0,0,0.3,0,0.4,0.1,0,"Frustration increases anger and contempt, with a slight surprise element."
MSP-PODCAST_1640_0007_0006.wav,0,0.2,0,0.3,0.1,0.3,0.1,0,"Cautiousness implies fear and reduces neutrality, adding sadness."
MSP-PODCAST_1640_0008.wav,0,0.3,0,0.2,0,0.5,0,0,"Monotone neutrality is high, but sadness and contempt are slightly increased."
MSP-PODCAST_1640_0009_0001.wav,0,0.3,0,0.2,0.1,0.3,0.1,0,"Concern increases sadness and fear, reducing neutrality."
MSP-PODCAST_1640_0017.wav,0,0.2,0,0,0.2,0.5,0,0.1,"Cautiousness increases fear, slightly reduces neutrality, adds happiness."
MSP-PODCAST_1640_0018.wav,0,0,0,0.3,0.2,0.5,0,0,"Cautiousness increases fear and contempt, maintaining high neutrality."
MSP-PODCAST_1640_0020.wav,0.1,0.2,0,0,0,0.6,0.1,0,"Thoughtfulness slightly increases sadness, reduces neutrality."
MSP-PODCAST_1640_0031_0013.wav,0.2,0.1,0.2,0.1,0.1,0.2,0,0.1,"Upset increases anger and disgust, reduces neutrality."
MSP-PODCAST_1640_0032_0004.wav,0,0.2,0,0,0,0.2,0,0.6,"Congratulatory context increases happiness, reduces neutrality."
MSP-PODCAST_1640_0037.wav,0,0,0,0,0,0.9,0,0.1,Insightfulness is primarily neutral with a slight lean towards happiness.
MSP-PODCAST_1640_0041_0005.wav,0,0,0,0.2,0.1,0.5,0,0.2,"Curiosity increases happiness and reduces neutrality, adds contempt."
MSP-PODCAST_1640_0041_0008.wav,0,0.5,0,0,0,0.3,0,0.2,"Confidence increases happiness, reduces neutrality, increases sadness."
MSP-PODCAST_1640_0041_0012.wav,0,0,0,0,0.1,0.6,0,0.3,"Cautiousness increases fear slightly, with a boost in happiness."
MSP-PODCAST_1640_0041_0013.wav,0,0.3,0,0,0.1,0.5,0.1,0,"Concern increases sadness and fear, with a slight surprise."
MSP-PODCAST_1640_0046.wav,0,0.2,0.1,0.2,0.2,0.3,0,0,"Curiosity increases fear and reduces neutrality, adds disgust."
MSP-PODCAST_1640_0048.wav,0,0,0,0,0.1,0.8,0.1,0,"Speculation increases fear slightly, with a reduction in neutrality."
MSP-PODCAST_1640_0054.wav,0,0,0,0,0,0.2,0.1,0.7,"Curiosity strongly leans towards happiness, reducing neutrality."
MSP-PODCAST_1640_0055.wav,0,0,0,0,0,0.9,0,0.1,Neutral state is predominantly neutral with a slight lean towards happiness.
MSP-PODCAST_1640_0063.wav,0,0.1,0,0.1,0,0.5,0,0.3,"Interest increases happiness, reduces neutrality, adds sadness."
MSP-PODCAST_1640_0069.wav,0,0,0,0,0,0.7,0,0.3,"Empathy increases happiness, with a strong lean towards neutrality."
MSP-PODCAST_1641_0011_0001.wav,0,0,0,0,0,0.05,0,0.95,"Gratefulness is overwhelmingly associated with happiness, minimal neutrality."
MSP-PODCAST_1641_0011_0002.wav,0,0,0,0,0,0,0,1,Neutral input but context suggests a strong lean towards happiness.
MSP-PODCAST_1641_0014_0002.wav,0,0,0,0,0,0.9,0,0.1,Motivation is primarily neutral with a slight lean towards happiness.
MSP-PODCAST_1641_0014_0005.wav,0,0,0,0,0,0.9,0,0.1,Pride is primarily neutral with a slight lean towards happiness.
MSP-PODCAST_1641_0014_0007.wav,0.05,0.15,0.05,0.15,0.1,0.4,0.05,0.05,Increased 'fear' due to 'nervous' indicating anxiety; decreased 'neutral' slightly.
MSP-PODCAST_1641_0014_0011.wav,0.05,0.05,0.2,0.05,0.2,0.4,0.05,0,Increased 'fear' and 'disgust' due to 'concerned' implying worry and unease.
MSP-PODCAST_1641_0014_0012.wav,0,0.05,0,0,0.05,0.15,0.25,0.5,Increased 'happy' and 'surprise' due to positive anticipation implied by 'concerned'.
MSP-PODCAST_1641_0014_0016.wav,0.25,0.15,0.05,0.05,0.15,0.25,0.05,0.05,Increased 'angry' due to 'annoyed' indicating irritation; decreased 'neutral'.
MSP-PODCAST_1641_0014_0019.wav,0.15,0.15,0.05,0.05,0.05,0.45,0.05,0.05,Increased 'neutral' due to contemplative state; decreased 'angry' and 'sad'.
MSP-PODCAST_1641_0014_0027.wav,0.05,0.05,0,0.05,0.05,0.35,0.15,0.3,Increased 'happy' due to positive emotions; adjusted 'neutral' and 'surprise'.
MSP-PODCAST_1641_0035.wav,0,0,0,0,0,0,0,1,Kept 'happy' at 1.0 due to strong positive emotion from 'enthusiastic'.
MSP-PODCAST_1641_0036.wav,0,0,0,0,0.05,0.15,0.3,0.5,Increased 'surprise' due to 'inspired' suggesting a sudden positive realization.
MSP-PODCAST_1641_0038_0001.wav,0,0,0,0,0.15,0.45,0.15,0.25,Increased 'neutral' for calmness; 'happy' and 'surprise' for mild positive effect.
MSP-PODCAST_1641_0038_0009.wav,0,0.05,0,0,0.2,0.7,0,0.05,Increased 'neutral' due to 'concerned' suggesting a more contemplative state.
MSP-PODCAST_1641_0053.wav,0.05,0.25,0.05,0.05,0.05,0.25,0.05,0.25,Increased 'sad' due to confusion and caution; decreased 'neutral' and 'happy'.
MSP-PODCAST_1641_0058.wav,0.05,0.2,0,0,0.05,0.65,0,0.05,Increased 'neutral' for contemplation; 'sad' for concern's negative aspect.
MSP-PODCAST_1641_0065.wav,0,0.1,0,0,0.05,0.25,0.1,0.5,Increased 'happy' due to gratitude; adjusted 'neutral' and 'surprise' for balance.
MSP-PODCAST_1641_0076.wav,0,0,0,0,0,1,0,0,Kept 'neutral' at 1.0 due to 'content' indicating a state of satisfaction without strong emotion.
MSP-PODCAST_1641_0081.wav,0,0.05,0,0,0.05,0.2,0.1,0.6,Increased 'happy' due to gratitude; adjusted 'neutral' for a balanced state.
MSP-PODCAST_1641_0083.wav,0.05,0,0,0,0,0.05,0,0.9,Increased 'happy' significantly due to positive emotions; decreased 'neutral'.
MSP-PODCAST_1642_0002.wav,0,0,0,0,0,0,0,1,Kept 'happy' at 1.0 due to strong positive emotions from 'cheerful'.
MSP-PODCAST_1642_0005_0002.wav,0.1,0.8,0.05,0.05,0,0,0,0,Increased 'sad' due to 'resignation' indicating a sense of giving up.
MSP-PODCAST_1642_0007_0001.wav,0.05,0.2,0.4,0.05,0.05,0.05,0.05,0.15,Increased 'disgust' due to determination often facing opposition; decreased 'neutral'.
MSP-PODCAST_1642_0007_0003.wav,0.05,0.55,0.05,0.25,0.05,0.05,0,0,Increased 'sad' due to concern; 'contempt' for the mix of interest and concern.
MSP-PODCAST_1642_0033.wav,0.4,0.05,0.05,0.4,0.05,0.05,0,0,Increased 'angry' and 'contempt' due to frustration; decreased 'neutral'.
MSP-PODCAST_1642_0034.wav,0.05,0.05,0,0,0.05,0.4,0.2,0.25,Increased 'neutral' for confusion; 'happy' and 'surprise' for potential positive outcome.
MSP-PODCAST_1642_0035.wav,0.05,0.05,0.4,0.05,0.05,0.05,0.05,0.3,Increased 'disgust' due to frustration; 'happy' for overcoming frustration.
MSP-PODCAST_1642_0039.wav,0,0,0,0,0,0,0,1,Kept 'happy' at 1.0 due to 'praising' indicating strong positive feedback.
MSP-PODCAST_1642_0041.wav,0.05,0.05,0.05,0.2,0.05,0.45,0.05,0.1,Increased 'neutral' for caution; 'contempt' for skepticism; decreased 'happy'.
MSP-PODCAST_1643_0003.wav,0.05,0.05,0.05,0.05,0.2,0.55,0,0.05,Increased 'neutral' due to 'nervous' suggesting uncertainty; decreased 'fear'.
MSP-PODCAST_1643_0017.wav,0.05,0.2,0,0,0.05,0.65,0,0.05,Increased 'neutral' for contemplation; 'sad' for concern's negative aspect.
MSP-PODCAST_1644_0004_0003.wav,0.05,0.05,0,0.05,0.05,0.2,0.1,0.5,Increased 'happy' due to positive emotions of pride and satisfaction; adjusted 'neutral'.
MSP-PODCAST_1644_0004_0008.wav,0.05,0.05,0.05,0.05,0.1,0.3,0.05,0.35,Increased 'happy' for passion; 'neutral' for contemplation; decreased 'fear'.
MSP-PODCAST_1644_0023.wav,0.05,0.05,0.05,0.05,0.05,0.55,0,0.2,Increased 'neutral' for contentment; 'happy' for positive state; decreased 'surprise'.
MSP-PODCAST_1644_0030.wav,0.1,0,0,0,0.5,0.2,0.1,0.1,Increased fear due to the primary emotion; adjusted others for balance.
MSP-PODCAST_1644_0035_0004.wav,0,0.1,0,0,0.1,0.7,0.1,0,Increased neutrality for reflective state; slight sadness and fear for uncertainty.
MSP-PODCAST_1644_0038_0002.wav,0,0,0,0,0,0.9,0,0.1,Increased neutrality for calm assessment; slight happiness for positive outlook.
MSP-PODCAST_1644_0038_0003.wav,0,0,0,0,0,0.9,0,0.1,Increased neutrality for objective tone; slight happiness for constructive intent.
MSP-PODCAST_1644_0038_0005.wav,0,0.2,0.3,0.2,0,0.2,0,0.1,Increased disgust and contempt for concern's negative connotation; adjusted others for balance.
MSP-PODCAST_1644_0049.wav,0.1,0,0.2,0.2,0.1,0.2,0.1,0.1,Balanced frustration with caution; adjusted for complexity of emotions.
MSP-PODCAST_1644_0052.wav,0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,Increased fear for embarrassment; balanced surprise and neutrality for awkwardness.
MSP-PODCAST_1644_0055_0005.wav,0,0.1,0,0.1,0.6,0.1,0.1,0,Increased fear due to anxiety; adjusted others for balance and slight uncertainty.
MSP-PODCAST_1644_0057.wav,0.1,0,0,0,0,0.8,0,0.1,Increased neutrality for cautiousness; slight anger for potential threats.
MSP-PODCAST_1644_0074_0002.wav,0,0,0.1,0,0,0.8,0,0.1,Increased neutrality for calmness; slight disgust for potential displeasure.
MSP-PODCAST_1644_0074_0003.wav,0,0,0,0,0,0.9,0,0.1,Increased neutrality for factual tone; slight happiness for confidence in facts.
MSP-PODCAST_1644_0074_0006.wav,0,0.1,0.1,0.1,0,0.5,0.1,0.1,Increased neutrality for general concern; adjusted others for mixed emotions.
MSP-PODCAST_1644_0074_0008.wav,0.2,0,0.2,0.2,0,0.3,0.1,0,Increased anger for frustration; balanced disgust and contempt for negative aspect.
MSP-PODCAST_1644_0075.wav,0,0,0,0,0,0,0.2,0.8,Increased happiness for overcoming disappointment; adjusted surprise for unexpected outcome.
MSP-PODCAST_1644_0086_0004.wav,0,0.1,0,0,0.1,0.7,0.1,0,Increased neutrality for perplexity; slight sadness and fear for confusion.
