,angry,sad,disgust,fear,neutral,happy,SpkrID,Gender,Split_Set
1051_ITH_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1066_ITS_ANG_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1066,Male,Train
1085_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1085,Male,Train
1039_MTI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1039,Male,Train
1072_TSI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1072,Female,Train
1048_IWL_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1048,Male,Train
1037_MTI_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1037,Female,Train
1055_DFA_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1055,Female,Train
1073_WSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1086_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1086,Male,Train
1077_IEO_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1077,Male,Train
1080_IEO_HAP_HI.wav,0.01,0.01,0.01,0.01,0.01,0.95,1080,Male,Train
1049_ITH_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1049,Female,Train
1043_IWL_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1043,Female,Train
1064_TIE_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1064,Male,Train
1067_TIE_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1067,Male,Train
1070_IOM_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1042_WSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1049_IEO_HAP_MD.wav,0.01,0.01,0.01,0.01,0.01,0.95,1049,Female,Train
1058_IEO_FEA_MD.wav,0.01,0.01,0.01,0.95,0.01,0.01,1058,Female,Train
1045_WSI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1088_MTI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1052_IEO_SAD_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1052,Female,Train
1082_TAI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1082,Female,Train
1073_IOM_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1079_IWW_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1079,Female,Train
1045_WSI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1039_TSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1039,Male,Train
1070_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1067_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1067,Male,Train
1055_IEO_ANG_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1055,Female,Train
1064_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1064,Male,Train
1042_WSI_HAP_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1042,Male,Train
1088_MTI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1052_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1052,Female,Train
1061_IEO_DIS_LO.wav,0.01,0.01,0.95,0.01,0.01,0.01,1061,Female,Train
1091_MTI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1091,Female,Train
1073_IOM_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1073,Female,Train
1088_IOM_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1073_IEO_FEA_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1076_IEO_DIS_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1076,Female,Train
1057_WSI_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1057,Male,Train
1042_DFA_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1042,Male,Train
1079_TIE_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1079,Female,Train
1051_TSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1091_IWW_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1091,Female,Train
1070_IEO_ANG_MD.wav,0.95,0.01,0.01,0.01,0.01,0.01,1070,Male,Train
1060_WSI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1039_DFA_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1039,Male,Train
1091_ITS_DIS_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1091,Female,Train
1085_DFA_DIS_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1085,Male,Train
1046_IOM_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1046,Female,Train
1082_DFA_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1082,Female,Train
1070_IWL_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1067_MTI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1067,Male,Train
1055_IWW_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1055,Female,Train
1064_MTI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1064,Male,Train
1073_IWL_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1079_ITH_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1079,Female,Train
1090_ITH_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1090,Male,Train
1072_TAI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1072,Female,Train
1087_IWL_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1087,Male,Train
1081_MTI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1081,Male,Train
1069_IWW_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1069,Male,Train
1039_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1039,Male,Train
1060_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1057_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1057,Male,Train
1045_IEO_ANG_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1084_IWL_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1084,Female,Train
1054_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1054,Female,Train
1042_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1051_IEO_DIS_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1075_IWW_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1075,Female,Train
1048_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1048,Male,Train
1063_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1063,Female,Train
1090_IWL_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1090,Male,Train
1087_MTI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1087,Male,Train
1084_MTI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1084,Female,Train
1066_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1066,Male,Train
1057_IEO_DIS_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1057,Male,Train
1045_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1060_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1069_IOM_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1069,Male,Train
1057_IEO_FEA_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1057,Male,Train
1090_MTI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1090,Male,Train
1038_TSI_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1038,Male,Train
1066_TIE_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1066,Male,Train
1051_IEO_SAD_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1075_IWW_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1075,Female,Train
1044_WSI_DIS_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1044,Male,Train
1048_IEO_HAP_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1048,Male,Train
1091_ITS_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1091,Female,Train
1070_IWL_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1046_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1046,Female,Train
1085_DFA_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1085,Male,Train
1076_ITH_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1076,Female,Train
1067_MTI_ANG_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1067,Male,Train
1073_IWL_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1073,Female,Train
1082_DFA_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1082,Female,Train
1061_TAI_ANG_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1061,Female,Train
1043_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1043,Female,Train
1079_ITH_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1079,Female,Train
1058_TAI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1058,Female,Train
1064_MTI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1064,Male,Train
1091_DFA_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1091,Female,Train
1061_IOM_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1061,Female,Train
1076_MTI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1076,Female,Train
1043_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1043,Female,Train
1079_IWL_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1079,Female,Train
1046_IEO_FEA_HI.wav,0.01,0.01,0.01,0.95,0.01,0.01,1046,Female,Train
1052_TIE_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1052,Female,Train
1049_IEO_DIS_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1049,Female,Train
1037_IEO_HAP_HI.wav,0.01,0.01,0.01,0.95,0.01,0.01,1037,Female,Train
1064_IWW_SAD_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1064,Male,Train
1085_ITH_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1085,Male,Train
1040_IEO_SAD_HI.wav,0.01,0.95,0.01,0.01,0.01,0.01,1040,Male,Train
1055_TIE_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1055,Female,Train
1088_ITH_ANG_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1045_TSI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1079_IOM_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1079,Female,Train
1076_IOM_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1076,Female,Train
1061_IEO_ANG_MD.wav,0.95,0.01,0.01,0.01,0.01,0.01,1061,Female,Train
1070_TIE_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1055_IEO_HAP_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1055,Female,Train
1051_WSI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1042_TSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1048_WSI_SAD_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1048,Male,Train
1085_IWW_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1085,Male,Train
1064_IEO_FEA_MD.wav,0.01,0.01,0.01,0.95,0.01,0.01,1064,Male,Train
1091_TAI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1091,Female,Train
1073_TIE_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1039_ITS_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1039,Male,Train
1059_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1059,Male,Train
1086_IWW_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1086,Male,Train
1089_IWW_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1089,Female,Train
1080_IOM_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1080,Male,Train
1055_WSI_FEA_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1055,Female,Train
1074_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1074,Female,Train
1062_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1062,Male,Train
1043_ITS_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1043,Female,Train
1048_DFA_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1048,Male,Train
1076_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1076,Female,Train
1039_IWL_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1039,Male,Train
1063_TSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1063,Female,Train
1051_DFA_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1088_TIE_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1069_WSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1069,Male,Train
1079_IEO_ANG_MD.wav,0.95,0.01,0.01,0.01,0.01,0.01,1079,Female,Train
1045_ITH_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1073_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1054_ITS_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1054,Female,Train
1082_IEO_FEA_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1082,Female,Train
1057_ITS_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1057,Male,Train
1042_ITH_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1085_IEO_DIS_MD.wav,0.01,0.01,0.95,0.01,0.01,0.01,1085,Male,Train
1054_DFA_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1054,Female,Train
1079_IEO_SAD_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1079,Female,Train
1057_ITS_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1057,Male,Train
1045_ITH_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1082_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1082,Female,Train
1051_DFA_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
1063_TSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1063,Female,Train
1076_IEO_HAP_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1076,Female,Train
1060_ITS_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1066_TSI_DIS_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1066,Male,Train
1048_ITH_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1048,Male,Train
1053_IEO_SAD_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1053,Female,Train
1059_IEO_FEA_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1059,Male,Train
1080_TAI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1080,Male,Train
1040_WSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1040,Male,Train
1056_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1056,Female,Train
1043_WSI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1043,Female,Train
1071_IOM_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1071,Male,Train
1047_IEO_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1047,Female,Train
1086_MTI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1086,Male,Train
1065_TIE_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1065,Male,Train
1059_IEO_DIS_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1059,Male,Train
1065_TIE_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1065,Male,Train
1074_IWW_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1074,Female,Train
1071_IOM_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1071,Male,Train
1050_IEO_SAD_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1050,Male,Train
1062_TIE_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1062,Male,Train
1043_WSI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1043,Female,Train
1089_MTI_DIS_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1089,Female,Train
1040_WSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1040,Male,Train
1086_MTI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1086,Male,Train
1089_MTI_FEA_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1089,Female,Train
1080_TAI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1080,Male,Train
1059_IEO_DIS_LO.wav,0.01,0.01,0.95,0.01,0.01,0.01,1059,Male,Train
1037_TSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1037,Female,Train
1062_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1062,Male,Train
1074_IWW_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1074,Female,Train
1050_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1050,Male,Train
1086_MTI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1086,Male,Train
1065_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1065,Male,Train
1068_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1068,Male,Train
1071_IOM_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1071,Male,Train
1047_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1047,Female,Train
1043_WSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1043,Female,Train
1053_IEO_ANG_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1053,Female,Train
1053_WSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1053,Female,Train
1041_ITS_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1041,Male,Train
1072_IEO_FEA_HI.wav,0.01,0.01,0.01,0.95,0.01,0.01,1072,Female,Train
1066_IEO_SAD_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1066,Male,Train
1078_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1078,Female,Train
1050_TSI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1050,Male,Train
1069_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1069,Male,Train
1056_WSI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1056,Female,Train
1087_IWW_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1087,Male,Train
1060_IEO_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1047_TSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1047,Female,Train
1038_DFA_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1038,Male,Train
1063_IEO_HAP_HI.wav,0.01,0.01,0.01,0.01,0.01,0.95,1063,Female,Train
1075_IEO_DIS_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1075,Female,Train
1064_ITS_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1064,Male,Train
1086_IEO_SAD_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1086,Male,Train
1061_DFA_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1061,Female,Train
1076_WSI_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1076,Female,Train
1046_IWL_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1046,Female,Train
1040_MTI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1040,Male,Train
1070_TSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1079_WSI_FEA_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1079,Female,Train
1052_ITH_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1052,Female,Train
1037_TAI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1037,Female,Train
1055_ITH_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1055,Female,Train
1060_TSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1060,Female,Train
1042_ITH_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1082_IEO_FEA_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1082,Female,Train
1054_ITS_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1054,Female,Train
1091_TIE_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1091,Female,Train
1066_WSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1066,Male,Train
1079_IEO_ANG_LO.wav,0.95,0.01,0.01,0.01,0.01,0.01,1079,Female,Train
1076_IEO_HAP_HI.wav,0.01,0.01,0.01,0.01,0.01,0.95,1076,Female,Train
1073_IEO_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1073,Female,Train
1069_WSI_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1069,Male,Train
1088_TIE_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1088,Male,Train
1045_ITH_ANG_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1039_IWL_ANG_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1039,Male,Train
1048_DFA_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1048,Male,Train
1039_IEO_FEA_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1039,Male,Train
1069_MTI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1069,Male,Train
1075_IWL_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1075,Female,Train
1063_TAI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1063,Female,Train
1087_DFA_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1087,Male,Train
1042_IEO_DIS_LO.wav,0.01,0.01,0.01,0.01,0.95,0.01,1042,Male,Train
1081_ITH_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1081,Male,Train
1057_IWW_NEU_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1057,Male,Train
1051_IOM_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1051,Male,Train
